FoodItem,Category,Calories,Protein(g),Carbs(g),Fats(g),DietType,Recipe,BaseWeight(g)
Teriyaki Protein Bar,Snack,250.0,21.0,35.2,6.0,Vegetarian,1. Simply portion out your Teriyaki Protein Bar. 2. Store the rest in an airtight container for lasting freshness.,156
Honey Glazed Rice Cakes,Snack,108.0,2.0,28.8,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Honey Glazed Rice Cakes. 3. Simmer covered for 15-20 mins until fluffy.,77
Smoked Scrambled Eggs,Breakfast,154.0,13.2,1.0,12.0,Non-Vegetarian,1. Prepare the Smoked Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,66
Buttermilk Vegetable Curry,Dinner,420.0,8.8,36.0,22.5,Vegetarian,1. Gather your Buttermilk Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,168
Garlic Greek Yogurt,Breakfast,110.0,10.5,4.8,0.0,Vegetarian,1. Prepare the Garlic Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,38
Teriyaki Almonds,Snack,200.0,6.3,9.6,14.0,Vegetarian,1. Simply portion out your Teriyaki Almonds. 2. Store the rest in an airtight container for lasting freshness.,75
Brown Rice,Lunch,215.0,5.0,45.0,1.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,128
BBQ Pork Chop & Mash,Dinner,715.0,35.0,60.0,27.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the BBQ Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,306
Keto Tuna Salad,Lunch,270.0,30.8,2.0,27.0,Non-Vegetarian,1. Gather your Keto Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,150
Herb-Roasted Banana,Snack,120.7,1.1,28.4,0.0,Vegetarian,1. Simply portion out your Herb-Roasted Banana. 2. Store the rest in an airtight container for lasting freshness.,74
Mashed Potatoes,Dinner,210.0,4.0,30.0,8.0,Vegetarian,1. Gather your Mashed Potatoes ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,105
Honey Glazed Beef Stir Fry,Dinner,648.0,32.0,63.0,22.0,Non-Vegetarian,1. Gather your Honey Glazed Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,292
Lemon Pepper Oatmeal,Breakfast,153.0,5.2,27.0,3.0,Vegetarian,1. Prepare the Lemon Pepper Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,88
Herb-Roasted Peanut Butter Toast,Snack,253.0,8.4,21.0,14.4,Vegetarian,1. Simply portion out your Herb-Roasted Peanut Butter Toast. 2. Store the rest in an airtight container for lasting freshness.,110
Loaded Paneer Tikka,Dinner,560.0,23.4,18.0,45.0,Vegetarian,1. Cube the Loaded Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,216
Spicy Shrimp Pasta,Dinner,504.0,30.0,60.5,12.6,Non-Vegetarian,1. Gather your Spicy Shrimp Pasta ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,258
Chipotle Quinoa Bowl,Lunch,384.0,14.7,49.5,13.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Chipotle Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,193
Mixed Dal,Lunch,220.0,14.0,35.0,4.0,Vegetarian,1. Gather your Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,132
Lemon Pepper Tofu,Lunch,142.8,15.8,2.0,8.0,Vegetarian,1. Cube the Lemon Pepper Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,64
Shrimp Pasta,Dinner,480.0,30.0,55.0,12.0,Non-Vegetarian,1. Gather your Shrimp Pasta ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,242
Garlic Rice Cakes,Snack,88.0,2.1,19.2,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Garlic Rice Cakes. 3. Simmer covered for 15-20 mins until fluffy.,53
Sweet & Sour Paneer,Dinner,416.0,18.0,8.5,25.0,Vegetarian,1. Cube the Sweet & Sour Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,129
Cajun Quinoa,Lunch,253.0,8.0,42.9,3.4,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Cajun Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,136
Loaded Chickpea Curry,Dinner,480.0,15.6,60.0,18.0,Vegetarian,1. Gather your Loaded Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,234
Honey Glazed Cereal with Milk,Breakfast,283.5,8.0,63.0,4.4,Vegetarian,1. Prepare the Honey Glazed Cereal with Milk base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,188
Chipotle Pork Chop & Mash,Dinner,660.0,36.8,44.0,32.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Chipotle Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,283
Paneer Tikka,Dinner,350.0,18.0,12.0,25.0,Vegetarian,1. Cube the Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,138
Herb-Roasted Avocado Toast,Breakfast,287.5,6.3,25.2,18.0,Vegetarian,1. Prepare the Herb-Roasted Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,124
Cheesy Tuna Sandwich,Lunch,560.0,33.6,38.5,24.0,Non-Vegetarian,1. Gather your Cheesy Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,240
Sweet & Sour Mixed Dal,Lunch,286.0,14.0,59.5,4.0,Vegetarian,1. Gather your Sweet & Sour Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,194
Cheesy Salmon Fillet,Dinner,560.0,40.8,0.0,44.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cheesy Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,214
Herb-Roasted Oatmeal,Breakfast,172.5,5.2,28.4,3.6,Vegetarian,1. Prepare the Herb-Roasted Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,93
Herb-Roasted Quinoa,Lunch,253.0,8.4,41.0,3.6,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Herb-Roasted Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,132
Chickpea Curry,Dinner,300.0,12.0,40.0,10.0,Vegetarian,1. Gather your Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,155
Quinoa,Lunch,220.0,8.0,39.0,3.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,125
Loaded Black Beans,Lunch,176.0,9.1,30.0,0.0,Vegetarian,1. Gather your Loaded Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,98
Lemon Pepper Pancakes,Breakfast,255.0,6.3,35.0,10.0,Vegetarian,1. Prepare the Lemon Pepper Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,128
Spicy Mashed Potatoes,Dinner,220.5,4.0,33.0,8.4,Vegetarian,1. Gather your Spicy Mashed Potatoes ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,114
Honey Glazed Sweet Potato,Dinner,148.5,2.0,46.8,0.0,Vegetarian,1. Gather your Honey Glazed Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,122
Sweet & Sour Bacon Strips,Breakfast,169.0,9.0,0.0,10.0,Non-Vegetarian,1. Prepare the Sweet & Sour Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,48
Herb-Roasted Cottage Cheese,Snack,138.0,14.7,5.2,4.8,Vegetarian,1. Simply portion out your Herb-Roasted Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,62
Honey Glazed Chickpea Curry,Dinner,405.0,12.0,72.0,11.0,Vegetarian,1. Gather your Honey Glazed Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,238
Paneer,Dinner,320.0,18.0,5.0,25.0,Vegetarian,1. Cube the Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,120
Spicy Black Beans,Lunch,115.5,7.0,22.0,0.0,Vegetarian,1. Gather your Spicy Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,72
Sweet & Sour Pork Chop & Mash,Dinner,715.0,35.0,68.0,25.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Sweet & Sour Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,320
Cajun Baked Salmon,Dinner,517.5,35.0,11.0,32.2,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cajun Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,196
Protein Waffle,Breakfast,220.0,15.0,20.0,8.0,Vegetarian,1. Prepare the Protein Waffle base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,77
Sweet & Sour Fruit Smoothie,Breakfast,234.0,2.0,76.5,1.0,Vegetarian,1. Prepare the Sweet & Sour Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,199
Almonds,Snack,160.0,6.0,6.0,14.0,Vegetarian,1. Simply portion out your Almonds. 2. Store the rest in an airtight container for lasting freshness.,47
Loaded Turkey Wrap,Lunch,560.0,32.5,45.0,21.6,Non-Vegetarian,1. Gather your Loaded Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,248
White Rice,Lunch,205.0,4.0,44.0,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of White Rice. 3. Simmer covered for 15-20 mins until fluffy.,120
Smoked Hummus & Carrots,Snack,165.0,5.5,18.0,9.6,Vegetarian,1. Simply portion out your Smoked Hummus & Carrots. 2. Store the rest in an airtight container for lasting freshness.,83
Teriyaki Lentil Soup,Lunch,250.0,12.6,40.0,3.0,Vegetarian,1. Gather your Teriyaki Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,139
Scrambled Eggs,Breakfast,140.0,12.0,1.0,10.0,Non-Vegetarian,1. Prepare the Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,41
Loaded Paneer,Dinner,512.0,23.4,7.5,45.0,Vegetarian,1. Cube the Loaded Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,190
Sweet & Sour Vegetable Curry,Dinner,390.0,8.0,51.0,15.0,Vegetarian,1. Gather your Sweet & Sour Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,185
Smoked Oatmeal,Breakfast,165.0,5.5,27.0,3.6,Vegetarian,1. Prepare the Smoked Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,90
Loaded Avocado Toast,Breakfast,400.0,7.8,36.0,27.0,Vegetarian,1. Prepare the Loaded Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,177
Cajun Steak and Rice,Dinner,690.0,40.0,49.5,28.7,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cajun Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,296
Honey Glazed Paneer,Dinner,432.0,18.0,9.0,27.5,Vegetarian,1. Cube the Honey Glazed Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,136
Chicken Shawarma,Lunch,450.0,30.0,40.0,18.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Chicken Shawarma to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,220
Teriyaki Chickpea Curry,Dinner,375.0,12.6,64.0,10.0,Vegetarian,1. Gather your Teriyaki Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,216
Honey Glazed Turkey Wrap,Lunch,472.5,25.0,54.0,13.2,Non-Vegetarian,1. Gather your Honey Glazed Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,230
Chia Seed Pudding,Breakfast,190.0,8.0,20.0,10.0,Vegetarian,1. Prepare the Chia Seed Pudding base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,68
Fruit Smoothie,Breakfast,180.0,2.0,45.0,1.0,Vegetarian,1. Prepare the Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,86
Sweet & Sour Tuna Salad,Lunch,390.0,28.0,17.0,15.0,Non-Vegetarian,1. Gather your Sweet & Sour Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,150
Cheesy Banana,Snack,147.0,1.2,29.7,0.0,Vegetarian,1. Simply portion out your Cheesy Banana. 2. Store the rest in an airtight container for lasting freshness.,77
Honey Glazed Avocado Toast,Breakfast,337.5,6.0,43.2,16.5,Vegetarian,1. Prepare the Honey Glazed Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,164
Beef Stir Fry,Dinner,480.0,32.0,35.0,20.0,Non-Vegetarian,1. Gather your Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,218
Chipotle Salmon Fillet,Dinner,480.0,35.7,0.0,36.4,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Chipotle Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,180
Cheesy Edamame,Snack,168.0,13.2,11.0,8.0,Vegetarian,1. Simply portion out your Cheesy Edamame. 2. Store the rest in an airtight container for lasting freshness.,80
Cheesy Fruit Smoothie,Breakfast,252.0,2.4,49.5,1.6,Vegetarian,1. Prepare the Cheesy Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,134
Buttermilk Avocado Toast,Breakfast,350.0,6.6,28.8,22.5,Vegetarian,1. Prepare the Buttermilk Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,145
Chipotle Vegetable Curry,Dinner,360.0,8.4,33.0,19.5,Vegetarian,1. Gather your Chipotle Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,152
Lemon Pepper Turkey Wrap,Lunch,357.0,26.2,35.0,12.0,Non-Vegetarian,1. Gather your Lemon Pepper Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,183
Honey Glazed Quinoa,Lunch,297.0,8.0,70.2,3.3,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Honey Glazed Quinoa. 3. Simmer covered for 15-20 mins until fluffy.,204
Lemon Pepper Lentil Soup,Lunch,204.0,12.6,25.0,3.0,Vegetarian,1. Gather your Lemon Pepper Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,102
Honey Glazed Chicken Breast,Lunch,222.8,31.0,0.0,3.3,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Honey Glazed Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,86
Smoked Brown Rice,Lunch,236.5,5.5,45.0,1.2,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Smoked Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,129
Teriyaki Chicken Breast & Broccoli,Lunch,312.5,36.8,16.0,5.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Teriyaki Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,144
Keto Beef Stir Fry,Dinner,432.0,35.2,7.0,36.0,Non-Vegetarian,1. Gather your Keto Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,196
Smoked Baked Salmon,Dinner,495.0,38.5,10.0,33.6,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Smoked Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,205
Honey Glazed Hummus & Carrots,Snack,202.5,5.0,32.4,8.8,Vegetarian,1. Simply portion out your Honey Glazed Hummus & Carrots. 2. Store the rest in an airtight container for lasting freshness.,116
Buttermilk Black Beans,Lunch,154.0,7.7,24.0,0.0,Vegetarian,1. Gather your Buttermilk Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,79
Keto Cottage Cheese,Snack,108.0,15.4,1.0,7.2,Vegetarian,1. Simply portion out your Keto Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,59
Extra Lean Tofu Scramble,Breakfast,128.0,16.8,4.0,5.0,Vegetarian,1. Cube the Extra Lean Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,64
Lemon Pepper Quinoa Bowl,Lunch,326.4,14.7,45.0,10.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Lemon Pepper Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,174
Cajun Pancakes,Breakfast,287.5,6.0,38.5,11.5,Vegetarian,1. Prepare the Cajun Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,140
Cajun Mashed Potatoes,Dinner,241.5,4.0,33.0,9.2,Vegetarian,1. Gather your Cajun Mashed Potatoes ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,116
Buttermilk Steak,Dinner,700.0,44.0,0.0,52.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Buttermilk Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,241
BBQ Brown Rice,Lunch,279.5,5.0,67.5,1.1,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of BBQ Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,184
Extra Lean Black Beans,Lunch,88.0,8.4,20.0,0.0,Vegetarian,1. Gather your Extra Lean Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,71
Garlic Chicken Breast & Broccoli,Lunch,275.0,36.8,12.0,5.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Garlic Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,136
Lemon Pepper Scrambled Egg Whites,Breakfast,122.4,23.1,2.0,0.0,Non-Vegetarian,1. Prepare the Lemon Pepper Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,63
Cheesy Brown Rice,Lunch,301.0,6.0,49.5,1.6,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Cheesy Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,143
Sweet & Sour Scrambled Eggs,Breakfast,182.0,12.0,1.7,10.0,Non-Vegetarian,1. Prepare the Sweet & Sour Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,59
BBQ Avocado Toast,Breakfast,325.0,6.0,36.0,16.5,Vegetarian,1. Prepare the BBQ Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,146
Cajun Tofu,Lunch,161.0,15.0,2.2,9.2,Vegetarian,1. Cube the Cajun Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,66
BBQ Chicken Breast,Lunch,214.5,31.0,0.0,3.3,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the BBQ Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,86
Lemon Pepper Bacon Strips,Breakfast,132.6,9.5,0.0,10.0,Non-Vegetarian,1. Prepare the Lemon Pepper Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,49
Chipotle Chicken Breast,Lunch,198.0,32.6,0.0,3.9,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Chipotle Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,91
Smoked Caesar Salad,Lunch,330.0,11.0,15.0,26.4,Vegetarian,1. Gather your Smoked Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,131
Smoked Turkey Wrap,Lunch,385.0,27.5,30.0,14.4,Non-Vegetarian,1. Gather your Smoked Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,180
Buttermilk Chickpea Curry,Dinner,420.0,13.2,48.0,15.0,Vegetarian,1. Gather your Buttermilk Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,190
Extra Lean Scrambled Eggs,Breakfast,112.0,14.4,1.0,5.0,Non-Vegetarian,1. Prepare the Extra Lean Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,51
Keto Protein Waffle,Breakfast,198.0,16.5,4.0,14.4,Vegetarian,1. Prepare the Keto Protein Waffle base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,87
Cajun Steak,Dinner,575.0,40.0,0.0,40.2,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cajun Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,200
Extra Lean Steak,Dinner,400.0,48.0,0.0,17.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Extra Lean Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,164
Cheesy White Rice,Lunch,287.0,4.8,48.4,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Cheesy White Rice. 3. Simmer covered for 15-20 mins until fluffy.,133
Honey Glazed Lentil Soup,Dinner,243.0,10.0,54.0,2.2,Vegetarian,1. Gather your Honey Glazed Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,166
Keto Greek Yogurt,Breakfast,90.0,11.0,0.8,0.0,Vegetarian,1. Prepare the Keto Greek Yogurt base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,30
Cheesy Cottage Cheese,Snack,168.0,16.8,5.5,6.4,Vegetarian,1. Simply portion out your Cheesy Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,72
Herb-Roasted Mashed Potatoes,Dinner,241.5,4.2,31.5,9.6,Vegetarian,1. Gather your Herb-Roasted Mashed Potatoes ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,113
BBQ Edamame,Snack,156.0,11.0,15.0,5.5,Vegetarian,1. Simply portion out your BBQ Edamame. 2. Store the rest in an airtight container for lasting freshness.,79
Loaded Fruit Smoothie,Breakfast,288.0,2.6,67.5,1.8,Vegetarian,1. Prepare the Loaded Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,180
Keto Mixed Dal,Lunch,198.0,15.4,7.0,7.2,Vegetarian,1. Gather your Keto Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,74
Cheesy Vegetable Curry,Dinner,420.0,9.6,33.0,24.0,Vegetarian,1. Gather your Cheesy Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,166
Keto Almonds,Snack,144.0,6.6,1.2,25.2,Vegetarian,1. Simply portion out your Keto Almonds. 2. Store the rest in an airtight container for lasting freshness.,82
